n,prime,k,l,size_X,lambda_plus,lambda_minus,bipartition,tag,dim,R_plus_bound,rank_mod_p,defect_to_bound,bucket
8,1000003,2,2,40272,1,7,1|7,,8,4,0,4,ZERO
8,1000003,2,2,40272,1,6.1,1|6.1,,48,24,12,12,EXTRA_DEFECT
8,1000003,2,2,40272,1,5.2,1|5.2,,112,56,36,20,EXTRA_DEFECT
8,1000003,2,2,40272,1,5.1.1,1|5.1.1,,120,60,48,12,EXTRA_DEFECT
8,1000003,2,2,40272,1,4.3,1|4.3,,112,56,36,20,EXTRA_DEFECT
8,1000003,2,2,40272,1,4.2.1,1|4.2.1,,280,140,108,32,EXTRA_DEFECT
8,1000003,2,2,40272,1,4.1.1.1,1|4.1.1.1,,160,80,72,8,EXTRA_DEFECT
8,1000003,2,2,40272,1,3.3.1,1|3.3.1,,168,84,60,24,EXTRA_DEFECT
8,1000003,2,2,40272,1,3.2.2,1|3.2.2,,168,84,60,24,EXTRA_DEFECT
8,1000003,2,2,40272,1,3.2.1.1,1|3.2.1.1,,280,140,108,32,EXTRA_DEFECT
8,1000003,2,2,40272,1,3.1.1.1.1,1|3.1.1.1.1,,120,60,48,12,EXTRA_DEFECT
8,1000003,2,2,40272,1,2.2.2.1,1|2.2.2.1,,112,56,36,20,EXTRA_DEFECT
8,1000003,2,2,40272,1,2.2.1.1.1,1|2.2.1.1.1,,112,56,36,20,EXTRA_DEFECT
8,1000003,2,2,40272,1,2.1.1.1.1.1,1|2.1.1.1.1.1,,48,24,12,12,EXTRA_DEFECT
8,1000003,2,2,40272,1,1.1.1.1.1.1.1,1|1.1.1.1.1.1.1,,8,4,0,4,ZERO
8,1000003,3,3,480,2,6,2|6,,28,16,12,4,EXTRA_DEFECT
8,1000003,3,3,480,2,5.1,2|5.1,,140,68,36,32,EXTRA_DEFECT
8,1000003,3,3,480,2,4.2,2|4.2,,252,132,60,72,EXTRA_DEFECT
8,1000003,3,3,480,2,4.1.1,2|4.1.1,,280,136,48,88,EXTRA_DEFECT
8,1000003,3,3,480,2,3.3,2|3.3,,140,64,36,28,EXTRA_DEFECT
8,1000003,3,3,480,2,3.2.1,2|3.2.1,,448,224,96,128,EXTRA_DEFECT
8,1000003,3,3,480,2,3.1.1.1,2|3.1.1.1,,280,144,48,96,EXTRA_DEFECT
8,1000003,3,3,480,2,2.2.2,2|2.2.2,,140,76,36,40,EXTRA_DEFECT
8,1000003,3,3,480,2,2.2.1.1,2|2.2.1.1,,252,120,60,60,EXTRA_DEFECT
8,1000003,3,3,480,2,2.1.1.1.1,2|2.1.1.1.1,,140,72,36,36,EXTRA_DEFECT
8,1000003,3,3,480,1.1,6,1.1|6,,28,12,0,12,ZERO
8,1000003,3,3,480,1.1,5.1,1.1|5.1,,140,72,0,72,ZERO
8,1000003,3,3,480,1.1,4.2,1.1|4.2,,252,120,0,120,ZERO
8,1000003,3,3,480,1.1,4.1.1,1.1|4.1.1,,280,144,0,144,ZERO
8,1000003,3,3,480,1.1,3.3,1.1|3.3,,140,76,0,76,ZERO
8,1000003,3,3,480,1.1,3.2.1,1.1|3.2.1,,448,224,0,224,ZERO
8,1000003,3,3,480,1.1,3.1.1.1,1.1|3.1.1.1,,280,136,0,136,ZERO
